単位		子供	下限	上限	通学/世帯	未就学児/世帯	通勤/世帯	非通勤/世帯	通学人数	未就学児人数	通勤人数	非通勤人数	夫就業妻就業	夫就業妻非就業	夫就業妻不詳	夫非就業妻就業	夫非就業妻非就業	夫非就業妻不詳	夫不詳妻就業	夫不詳妻非就業 	夫不詳妻不詳			
世帯数	　　　　最年長の子供が3～5歳	2	3	5									4654	4289	16	44	61	0	1	2	1985			
世帯数	　　　　最年長の子供が6～8歳	2	3	8									21178	19659	41	175	140	2	6	16	7651			
世帯数	　　　　最年長の子供が9～11歳	2	3	11									7637	6346	13	81	56	2	2	5	2704			
世帯数	　　　　最年長の子供が12～14歳	2	3	14									1751	1169	4	18	23	0	1	3	567			
世帯数	　　　　最年長の子供が15歳以上	2	3	17									658	394	1	13	14	0	0	1	276			
世帯数	　　　最年少の子供が6～8歳												37541	23923	71	362	294	2	13	24	10405			
世帯数	　　　　最年長の子供が6～8歳	2	6	8									4426	3205	4	43	46	0	2	0	1419			
世帯数	　　　　最年長の子供が9～11歳	2	6	11									21479	14037	42	194	154	1	5	19	5923			
世帯数	　　　　最年長の子供が12～14歳	2	6	14									9164	5301	19	97	66	1	5	5	2279			
世帯数	　　　　最年長の子供が15～17歳	2	6	17									1839	1037	1	18	14	0	0	0	512			
世帯数	　　　　最年長の子供が18歳以上	2	6	20									633	343	5	10	14	0	1	0	272			
世帯数	　　　最年少の子供が9～11歳												39940	18097	69	430	260	5	23	21	8753			
世帯数	　　　　最年長の子供が9～11歳	2	9	11									4580	2381	5	44	45	1	0	1	1250			
世帯数	　　　　最年長の子供が12～14歳	2	9	14									23974	10482	36	232	115	2	12	12	4976			
世帯数	　　　　最年長の子供が15～17歳	2	9	17									9213	4120	19	110	65	2	7	5	1917			
世帯数	　　　　最年長の子供が18歳以上	2	9	20									2173	1114	9	44	35	0	4	3	610			
世帯数	　　　最年少の子供が12～14歳												42646	16641	69	585	309	6	27	24	7949			
世帯数	　　　　最年長の子供が12～14歳	2	12	14									5511	2104	12	64	36	1	1	1	1135			
世帯数	　　　　最年長の子供が15～17歳	2	12	17									26234	9904	37	302	168	2	19	15	4652			
世帯数	　　　　最年長の子供が18歳以上	2	12	20									10901	4633	20	219	105	3	7	8	2162			
世帯数	　　　最年少の子供が15～17歳												41736	15084	33	709	423	4	30	17	7020			
世帯数	　　　　最年長の子供が15～17歳	2	12	17									5884	2015	6	67	57	0	0	4	1114			
世帯数	　　　　最年長の子供が18歳以上	2	12	20									35852	13069	27	642	366	4	30	13	5906			
世帯数	　　　最年少の子供が18歳以上	2	12	20									95251	49055	244	8352	24100	124	157	149	16396			
世帯数	　　子供が3人												66635	37560	213	1432	2036	56	175	127	30156			
世帯数	　　　最年少の子供が0歳												2492	3886	14	24	66	3	4	13	2191			
世帯数	　　　　最年長の子供が0歳	3	0	0									2	2	0	0	0	0	0	0	2			
世帯数	　　　　最年長の子供が1～2歳	3	0	2									37	58	0	1	4	0	0	0	44			
世帯数	　　　　最年長の子供が3～5歳	3	0	5									832	1364	7	10	23	0	2	5	828			
世帯数	　　　　最年長の子供が6～8歳	3	0	8									1085	1669	4	4	22	2	2	3	830			
世帯数	　　　　最年長の子供が9～11歳	3	0	11									347	529	1	6	11	1	0	3	309			
世帯数	　　　　最年長の子供が12歳以上	3	0	14									189	264	2	3	6	0	0	2	178			
世帯数	　　　最年少の子供が1～2歳												5689	6827	25	34	87	5	14	13	4234			
世帯数	　　　　最年長の子供が1～2歳	3	1	2									19	16	0	0	0	0	0	0	15			
世帯数	　　　　最年長の子供が3～5歳	3	1	5									649	880	3	3	12	0	3	1	594			
世帯数	　　　　最年長の子供が6～8歳	3	1	8									2642	3495	8	15	44	3	6	10	1966			
世帯数	　　　　最年長の子供が9～11歳	3	1	11									1522	1673	8	9	19	1	2	1	1041			
世帯数	　　　　最年長の子供が12歳以上	3	1	14									857	763	6	7	12	1	3	1	618			
世帯数	　　　最年少の子供が3～5歳												9239	7464	25	71	81	11	20	28	5621			
世帯数	　　　　最年長の子供が3～5歳	3	3	5									56	55	0	0	0	0	0	0	51			
世帯数	　　　　最年長の子供が6～8歳	3	3	8									1559	1615	4	14	19	3	5	5	1118			
世帯数	　　　　最年長の子供が9～11歳	3	3	11									4022	3517	7	26	37	2	6	11	2421			
世帯数	　　　　最年長の子供が12～14歳	3	3	14									2418	1616	6	18	16	4	4	6	1281			
世帯数	　　　　最年長の子供が15歳以上	3	3	17									1184	661	8	13	9	2	5	6	750			
世帯数	　　　最年少の子供が6～8歳												10097	5336	41	106	86	4	21	14	4877			
世帯数	　　　　最年長の子供が6～8歳	3	6	8									70	43	1	1	0	0	0	0	48			
世帯数	　　　　最年長の子供が9～11歳	3	6	11									1694	1118	5	23	13	0	4	3	932			
世帯数	　　　　最年長の子供が12～14歳	3	6	14									4664	2450	18	46	30	3	8	4	2154			
世帯数	　　　　最年長の子供が15～17歳	3	6	17									2666	1284	13	23	26	1	7	4	1181			
世帯数	　　　　最年長の子供が18歳以上	3	6	20									1003	441	4	13	17	0	2	3	562			
世帯数	　　　最年少の子供が9～11歳												9933	3499	22	116	60	3	29	17	3753			
世帯数	　　　　最年長の子供が9～11歳	3	9	11									75	44	2	1	1	0	0	0	58			
世帯数	　　　　最年長の子供が12～14歳	3	9	14									1894	728	4	22	13	0	6	5	769			
世帯数	　　　　最年長の子供が15～17歳	3	9	17									4844	1685	10	48	27	3	10	8	1694			
世帯数	　　　　最年長の子供が18歳以上	3	9	20									3120	1042	6	45	19	0	13	4	1232			
世帯数	　　　最年少の子供が12～14歳												9833	3147	23	137	76	6	32	12	3285			
世帯数	　　　　最年長の子供が12～14歳	3	12	14									113	41	0	1	0	0	0	0	38			
世帯数	　　　　最年長の子供が15～17歳	3	12	17									2208	655	7	26	13	0	8	4	817			
世帯数	　　　　最年長の子供が18歳以上	3	12	20									7512	2451	16	110	63	6	24	8	2430			
世帯数	　　　最年少の子供が15～17歳												8301	2545	19	161	66	6	16	9	2586			
世帯数	　　　　最年長の子供が15～17歳	3	15	17									92	32	0	0	1	0	0	0	37			
世帯数	　　　　最年長の子供が18歳以上	3	15	20									8209	2513	19	161	65	6	16	9	2549			
世帯数	　　　最年少の子供が18歳以上	3	18	20									11051	4856	44	783	1514	18	39	21	3609			
世帯数	　　子供が4人												8287	5012	42	179	250	7	18	12	5440			
世帯数	　　　最年少の子供が0歳												453	705	7	6	19	0	0	0	569			
世帯数	　　　　最年長の子供が0歳	4	0	0									0	1	0	0	0	0	0	0	0			
世帯数	　　　　最年長の子供が1～2歳	4	0	2									0	1	0	0	0	0	0	0	2			
世帯数	　　　　最年長の子供が3～5歳	4	0	5									22	35	0	1	0	0	0	0	43			
世帯数	　　　　最年長の子供が6～8歳	4	0	8									141	262	2	1	7	0	0	0	157			
世帯数	　　　　最年長の子供が9～11歳	4	0	11									128	206	2	2	5	0	0	0	159			
世帯数	　　　　最年長の子供が12歳以上	4	0	14									162	200	3	2	7	0	0	0	208			
世帯数	　　　最年少の子供が1～2歳												1122	1168	7	20	29	2	1	2	985			
世帯数	　　　　最年長の子供が1～2歳	4	1	2									0	0	0	0	0	0	0	0	0			
世帯数	　　　　最年長の子供が3～5歳	4	1	5									6	9	0	1	1	0	0	0	8			
世帯数	　　　　最年長の子供が6～8歳	4	1	8									174	221	1	2	5	1	0	0	171			
世帯数	　　　　最年長の子供が9～11歳	4	1	11									373	440	1	5	9	1	0	2	314			
世帯数	　　　　最年長の子供が12歳以上	4	1	14									569	498	5	12	14	0	1	0	492			
世帯数	　　　最年少の子供が3～5歳												1644	1154	3	25	40	1	1	4	1267			
世帯数	　　　　最年長の子供が3～5歳	4	3	5									1	1	0	0	0	0	0	0	1			
世帯数	　　　　最年長の子供が6～8歳	4	3	8									38	33	0	1	1	0	0	1	25			
世帯数	　　　　最年長の子供が9～11歳	4	3	11									307	267	2	2	10	0	0	1	256			
世帯数	　　　　最年長の子供が12～14歳	4	3	14									610	424	0	9	10	0	0	0	407			
世帯数	　　　　最年長の子供が15歳以上	4	3	17									688	429	1	13	19	1	1	2	578			
世帯数	　　　最年少の子供が6～8歳												1553	722	7	29	16	2	3	2	959			
世帯数	　　　　最年長の子供が6～8歳	4	6	8									2	0	0	0	0	0	0	0	0			
世帯数	　　　　最年長の子供が9～11歳	4	6	11									42	27	0	1	2	0	0	0	25			
世帯数	　　　　最年長の子供が12～14歳	4	6	14									366	194	1	4	3	0	1	1	221			
世帯数	　　　　最年長の子供が15～17歳	4	6	17									614	265	2	11	3	1	0	1	324			
世帯数	　　　　最年長の子供が18歳以上	4	6	20									529	236	4	13	8	1	2	0	389			
世帯数	　　　最年少の子供が9～11歳												1233	428	8	13	11	1	3	1	639			
世帯数	　　　　最年長の子供が9～11歳	4	9	11									2	1	0	1	0	0	0	0	0			
世帯数	　　　　最年長の子供が12～14歳	4	9	14									30	10	0	1	2	0	0	0	13			
世帯数	　　　　最年長の子供が15～17歳	4	9	17									346	116	2	4	3	0	1	1	179			
世帯数	　　　　最年長の子供が18歳以上	4	9	20									855	301	6	7	6	1	2	0	447			
世帯数	　　　最年少の子供が12～14歳												1041	329	3	20	16	0	4	1	477			
世帯数	　　　　最年長の子供が12～14歳	4	12	14									0	1	0	0	0	0	0	0	0			
世帯数	　　　　最年長の子供が15～17歳	4	12	17									45	17	1	0	0	0	0	0	19			
世帯数	　　　　最年長の子供が18歳以上	4	12	20									996	311	2	20	16	0	4	1	458			
世帯数	　　　最年少の子供が15～17歳												681	233	1	23	14	0	3	0	293			
世帯数	　　　　最年長の子供が15～17歳	4	15	17									1	0	0	0	0	0	0	0	0			
世帯数	　　　　最年長の子供が18歳以上	4	15	20									680	233	1	23	14	0	3	0	293			
世帯数	　　　最年少の子供が18歳以上	4	18	20									560	273	6	43	105	1	3	2	251			
