単位		子供	上限	下限	通学/世帯	未就学児/世帯	通勤/世帯	非通勤/世帯	通学人数	未就学児人数	通勤人数	非通勤人数	夫就業妻就業	夫就業妻非就業	夫就業妻不詳	夫雇用妻就業	夫雇用妻非就業	夫雇用妻不詳	夫非就業妻就業	夫非就業妻非就業	夫非就業妻不詳	夫不詳妻就業	夫不詳妻非就業	夫不詳妻不詳
世帯人員(人)	　　　　最年長の子供が3～5歳	2	0	5									31101	34346	79	26024	30740	55	203	357	0	17	24	12510
世帯人員(人)	　　　　最年長の子供が6～8歳	2	0	8									4885	6657	12	3863	5903	8	43	92	0	0	0	2389
世帯人員(人)	　　　　最年長の子供が9～11歳	2	0	11									920	1393	4	756	1239	4	12	32	0	0	0	574
世帯人員(人)	　　　　最年長の子供が12歳以上	2	0	14									576	656	4	451	520	4	14	24	0	0	0	367
世帯人員(人)	　　　最年少の子供が1～2歳												110512	114254	273	90373	101820	187	775	1187	34	29	80	47596
世帯人員(人)	　　　　最年長の子供が1～2歳	2	1	2									4471	4712	10	3578	4146	10	8	79	0	0	4	2441
世帯人員(人)	　　　　最年長の子供が3～5歳	2	1	5									71461	74862	195	58784	66983	129	481	684	30	13	52	30654
世帯人員(人)	　　　　最年長の子供が6～8歳	2	1	8									27753	28087	48	22617	25012	36	214	317	4	8	16	11319
世帯人員(人)	　　　　最年長の子供が9～11歳	2	1	11									4631	4691	12	3747	4092	8	36	71	0	4	4	2214
世帯人員(人)	　　　　最年長の子供が12歳以上	2	1	14									2196	1902	8	1647	1587	4	36	36	0	4	4	968
世帯人員(人)	　　　最年少の子供が3～5歳												145610	128860	313	120301	115169	152	1353	1204	17	42	113	53481
世帯人員(人)	　　　　最年長の子供が3～5歳	2	3	5									18925	17383	69	15451	15253	41	184	251	0	4	11	8053
世帯人員(人)	　　　　最年長の子供が6～8歳	2	3	8									85863	79505	166	71332	71603	82	715	569	8	26	66	31049
世帯人員(人)	　　　　最年長の子供が9～11歳	2	3	11									31014	25645	53	25699	22881	25	329	233	9	8	20	10949
世帯人員(人)	　　　　最年長の子供が12～14歳	2	3	14									7124	4733	21	5744	4128	4	73	94	0	4	12	2310
世帯人員(人)	　　　　最年長の子供が15歳以上	2	3	17									2684	1594	4	2075	1304	0	52	57	0	0	4	1120
世帯人員(人)	　　　最年少の子供が6～8歳												152530	96872	309	127559	85764	211	1486	1207	8	57	99	42313
世帯人員(人)	　　　　最年長の子供が6～8歳	2	6	8									18028	13002	16	14694	11500	12	175	191	0	8	0	5771
世帯人員(人)	　　　　最年長の子供が9～11歳	2	6	11									87215	56824	175	73501	50450	124	796	634	4	20	79	24068
世帯人員(人)	　　　　最年長の子供が12～14歳	2	6	14									37224	21443	91	31425	18981	60	401	270	4	25	20	9273
世帯人員(人)	　　　　最年長の子供が15～17歳	2	6	17									7478	4203	4	5980	3674	4	74	56	0	0	0	2079
世帯人員(人)	　　　　最年長の子供が18歳以上	2	6	20									2585	1400	23	1959	1159	11	40	56	0	4	0	1122
世帯人員(人)	　　　最年少の子供が9～11歳												162494	73281	283	137511	64289	124	1767	1064	21	101	86	35685
世帯人員(人)	　　　　最年長の子供が9～11歳	2	9	11									18607	9655	20	15478	8420	12	180	182	4	0	4	5098
世帯人員(人)	　　　　最年長の子供が12～14歳	2	9	14									97527	42427	144	83333	37404	60	958	476	8	53	49	20270
世帯人員(人)	　　　　最年長の子供が15～17歳	2	9	17									37482	16677	80	31680	14655	40	448	262	9	30	20	7798
世帯人員(人)	　　　　最年長の子供が18歳以上	2	9	20									8878	4522	39	7020	3810	12	181	144	0	18	13	2519
世帯人員(人)	　　　最年少の子供が12～14歳												173872	67457	289	148980	58887	156	2391	1255	25	113	98	32350
世帯人員(人)	　　　　最年長の子供が12～14歳	2	12	14									22497	8514	53	19156	7310	29	261	147	4	4	4	4652
世帯人員(人)	　　　　最年長の子供が15～17歳	2	12	17									106874	40159	154	92375	35232	82	1233	680	8	79	62	18906
世帯人員(人)	　　　　最年長の子供が18歳以上	2	12	20									44501	18784	82	37449	16345	45	897	428	13	30	32	8792
世帯人員(人)	　　　最年少の子供が15～17歳												170589	61366	141	144526	53161	95	2908	1735	17	122	68	28686
世帯人員(人)	　　　　最年長の子供が15～17歳	2	12	17									24042	8205	30	20451	7104	21	276	235	0	0	16	4555
世帯人員(人)	　　　　最年長の子供が18歳以上	2	12	20									146547	53161	111	124075	46057	74	2632	1500	17	122	52	24131
世帯人員(人)	　　　最年少の子供が18歳以上	2	12	20									391521	200842	1011	309100	165023	596	34141	98214	518	656	607	67460
世帯人員(人)	　　子供が3人												341308	191375	1105	294120	172558	678	7360	10442	281	893	644	152736
世帯人員(人)	　　　最年少の子供が0歳												12685	19743	74	11202	18029	59	132	342	15	20	67	11085
世帯人員(人)	　　　　最年長の子供が0歳	3	0	0									10	10	0	10	10	0	0	0	0	0	0	13
世帯人員(人)	　　　　最年長の子供が1～2歳	3	0	2									185	297	0	180	272	0	6	21	0	0	0	221
世帯人員(人)	　　　　最年長の子供が3～5歳	3	0	5									4238	6925	36	3766	6266	26	55	120	0	10	26	4192
世帯人員(人)	　　　　最年長の子供が6～8歳	3	0	8									5495	8480	23	4863	7836	18	24	115	10	10	15	4199
世帯人員(人)	　　　　最年長の子供が9～11歳	3	0	11									1780	2684	5	1536	2443	5	32	56	5	0	16	1553
世帯人員(人)	　　　　最年長の子供が12歳以上	3	0	14									977	1347	10	847	1202	10	15	30	0	0	10	907
世帯人員(人)	　　　最年少の子供が1～2歳												29023	34648	129	25571	31831	94	173	448	26	71	65	21416
世帯人員(人)	　　　　最年長の子供が1～2歳	3	1	2									102	81	0	102	71	0	0	0	0	0	0	75
世帯人員(人)	　　　　最年長の子供が3～5歳	3	1	5									3335	4472	15	2935	4134	10	15	61	0	16	5	3009
世帯人員(人)	　　　　最年長の子供が6～8歳	3	1	8									13483	17727	44	12023	16278	34	77	228	15	30	50	9946
世帯人員(人)	　　　　最年長の子供が9～11歳	3	1	11									7725	8492	40	6773	7913	20	46	97	6	10	5	5260
世帯人員(人)	　　　　最年長の子供が12歳以上	3	1	14									4378	3876	30	3738	3435	30	35	62	5	15	5	3126
世帯人員(人)	　　　最年少の子供が3～5歳												47067	37798	128	41122	34942	93	363	413	55	108	142	28421
世帯人員(人)	　　　　最年長の子供が3～5歳	3	3	5									288	275	0	251	250	0	0	0	0	0	0	257
世帯人員(人)	　　　　最年長の子供が6～8歳	3	3	8									7938	8179	20	6845	7540	20	70	99	15	26	25	5667
世帯人員(人)	　　　　最年長の子供が9～11歳	3	3	11									20465	17801	35	18046	16511	25	135	185	10	33	57	12212
世帯人員(人)	　　　　最年長の子供が12～14歳	3	3	14									12328	8174	33	10811	7597	23	93	83	20	24	30	6487
世帯人員(人)	　　　　最年長の子供が15歳以上	3	3	17									6048	3369	40	5169	3044	25	65	46	10	25	30	3798
世帯人員(人)	　　　最年少の子供が6～8歳												51559	27104	213	44899	24569	97	545	446	20	105	70	24655
世帯人員(人)	　　　　最年長の子供が6～8歳	3	6	8									357	219	5	315	199	5	5	0	0	0	0	241
世帯人員(人)	　　　　最年長の子供が9～11歳	3	6	11									8655	5685	25	7708	5198	20	119	66	0	20	15	4717
世帯人員(人)	　　　　最年長の子供が12～14歳	3	6	14									23808	12444	95	20801	11311	47	238	157	15	40	20	10873
世帯人員(人)	　　　　最年長の子供が15～17歳	3	6	17									13600	6517	68	11645	5912	15	117	138	5	35	20	5980
世帯人員(人)	　　　　最年長の子供が18歳以上	3	6	20									5139	2239	20	4430	1949	10	66	85	0	10	15	2844
世帯人員(人)	　　　最年少の子供が9～11歳												50806	17821	116	44283	15999	86	591	309	15	150	85	19012
世帯人員(人)	　　　　最年長の子供が9～11歳	3	9	11									381	223	10	341	213	5	5	5	0	0	0	299
世帯人員(人)	　　　　最年長の子供が12～14歳	3	9	14									9662	3696	20	8644	3318	10	113	69	0	32	25	3895
世帯人員(人)	　　　　最年長の子供が15～17歳	3	9	17									24763	8580	56	21672	7721	51	247	138	15	50	40	8564
世帯人員(人)	　　　　最年長の子供が18歳以上	3	9	20									16000	5322	30	13626	4747	20	226	97	0	68	20	6254
世帯人員(人)	　　　最年少の子供が12～14歳												50311	16125	118	43529	14311	50	701	395	30	163	61	16627
世帯人員(人)	　　　　最年長の子供が12～14歳	3	12	14									579	208	0	489	198	0	5	0	0	0	0	191
世帯人員(人)	　　　　最年長の子供が15～17歳	3	12	17									11289	3359	35	9683	3009	15	134	68	0	43	21	4121
世帯人員(人)	　　　　最年長の子供が18歳以上	3	12	20									38443	12558	83	33357	11104	35	562	327	30	120	40	12315
世帯人員(人)	　　　最年少の子供が15～17歳												42695	13096	97	36949	11609	71	827	338	30	80	47	13124
世帯人員(人)	　　　　最年長の子供が15～17歳	3	15	17									465	162	0	418	137	0	0	5	0	0	0	186
世帯人員(人)	　　　　最年長の子供が18歳以上	3	15	20									42230	12934	97	36531	11472	71	827	333	30	80	47	12938
世帯人員(人)	　　　最年少の子供が18歳以上	3	18	20									57162	25040	230	46565	21268	128	4028	7751	90	196	107	18396
世帯人員(人)	　　子供が4人												52353	31662	282	43153	27772	193	1134	1598	44	115	75	34474
世帯人員(人)	　　　最年少の子供が0歳												2892	4490	44	2400	3984	20	38	124	0	0	0	3660
世帯人員(人)	　　　　最年長の子供が0歳	4	0	0									0	8	0	0	8	0	0	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が1～2歳	4	0	2									0	6	0	0	6	0	0	0	0	0	0	12
世帯人員(人)	　　　　最年長の子供が3～5歳	4	0	5									136	219	0	124	200	0	6	0	0	0	0	269
世帯人員(人)	　　　　最年長の子供が6～8歳	4	0	8									872	1618	12	776	1441	0	6	46	0	0	0	964
世帯人員(人)	　　　　最年長の子供が9～11歳	4	0	11									804	1299	14	638	1167	14	14	33	0	0	0	1016
世帯人員(人)	　　　　最年長の子供が12歳以上	4	0	14									1080	1340	18	862	1162	6	12	45	0	0	0	1399
世帯人員(人)	　　　最年少の子供が1～2歳												7173	7415	50	5784	6505	37	125	195	12	6	12	6280
世帯人員(人)	　　　　最年長の子供が1～2歳	4	1	2									0	0	0	0	0	0	0	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が3～5歳	4	1	5									38	55	0	38	55	0	6	6	0	0	0	48
世帯人員(人)	　　　　最年長の子供が6～8歳	4	1	8									1086	1380	6	906	1254	6	12	34	6	0	0	1053
世帯人員(人)	　　　　最年長の子供が9～11歳	4	1	11									2328	2741	9	1924	2409	9	30	55	6	0	12	1963
世帯人員(人)	　　　　最年長の子供が12歳以上	4	1	14									3721	3239	35	2916	2787	22	77	100	0	6	0	3216
世帯人員(人)	　　　最年少の子供が3～5歳												10412	7311	22	8828	6318	22	167	263	6	8	24	8063
世帯人員(人)	　　　　最年長の子供が3～5歳	4	3	5									6	6	0	6	6	0	0	0	0	0	0	6
世帯人員(人)	　　　　最年長の子供が6～8歳	4	3	8									240	205	0	208	175	0	6	6	0	0	6	160
世帯人員(人)	　　　　最年長の子供が9～11歳	4	3	11									1894	1652	16	1656	1438	16	12	61	0	0	6	1570
世帯人員(人)	　　　　最年長の子供が12～14歳	4	3	14									3833	2647	0	3212	2299	0	60	62	0	0	0	2546
世帯人員(人)	　　　　最年長の子供が15歳以上	4	3	17									4439	2801	6	3746	2400	6	89	134	6	8	12	3781
世帯人員(人)	　　　最年少の子供が6～8歳												9792	4543	47	8110	4023	34	183	112	14	19	15	6071
世帯人員(人)	　　　　最年長の子供が6～8歳	4	6	8									12	0	0	0	0	0	0	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が9～11歳	4	6	11									257	163	0	206	145	0	6	15	0	0	0	153
世帯人員(人)	　　　　最年長の子供が12～14歳	4	6	14									2259	1200	6	1907	1049	6	25	19	0	6	8	1359
世帯人員(人)	　　　　最年長の子供が15～17歳	4	6	17									3857	1650	13	3209	1489	13	67	19	6	0	7	2030
世帯人員(人)	　　　　最年長の子供が18歳以上	4	6	20									3407	1530	28	2788	1340	15	85	59	8	13	0	2529
世帯人員(人)	　　　最年少の子供が9～11歳												7768	2701	55	6265	2430	30	82	67	6	18	6	4016
世帯人員(人)	　　　　最年長の子供が9～11歳	4	9	11									12	6	0	12	6	0	6	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が12～14歳	4	9	14									187	60	0	169	54	0	6	12	0	0	0	79
世帯人員(人)	　　　　最年長の子供が15～17歳	4	9	17									2158	714	13	1785	652	0	25	19	0	6	6	1104
世帯人員(人)	　　　　最年長の子供が18歳以上	4	9	20									5411	1921	42	4299	1718	30	45	36	6	12	0	2833
世帯人員(人)	　　　最年少の子供が12～14歳												6518	2040	18	5498	1774	18	126	105	0	27	6	2965
世帯人員(人)	　　　　最年長の子供が12～14歳	4	12	14									0	7	0	0	7	0	0	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が15～17歳	4	12	17									273	103	6	254	97	6	0	0	0	0	0	117
世帯人員(人)	　　　　最年長の子供が18歳以上	4	12	20									6245	1930	12	5244	1670	12	126	105	0	27	6	2848
世帯人員(人)	　　　最年少の子供が15～17歳												4280	1463	8	3533	1305	0	147	86	0	19	0	1841
世帯人員(人)	　　　　最年長の子供が15～17歳	4	15	17									6	0	0	6	0	0	0	0	0	0	0	0
世帯人員(人)	　　　　最年長の子供が18歳以上	4	15	20									4274	1463	8	3527	1305	0	147	86	0	19	0	1841
世帯人員(人)	　　　最年少の子供が18歳以上	4	18	20									3518	1699	38	2735	1433	32	266	646	6	18	12	1578
